Organism Scientific Name	Size
Vibrio cholerae O1 biovar El Tor str. N16961	4033464
Pasteurella multocida subsp. multocida str. Pm70	2257487
Lactococcus lactis subsp. lactis Il1403	2365589
Brucella melitensis bv. 1 str. 16M	3294931
Helicobacter pylori 26695	1667867
Thermotoga maritima MSB8	1860725
Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539	3284156
Treponema pallidum subsp. pallidum str. Nichols	1138011
Aquifex aeolicus VF5	1590791
Chlamydia trachomatis D/UW-3/CX	1042519
Chlamydia pneumoniae CWL029	1230230
Helicobacter pylori J99	1643831
Haemophilus influenzae Rd KW20	1830138
Chlamydia pneumoniae AR39	1229853
Vibrio cholerae O1 biovar El Tor str. N16961	4033464
Pasteurella multocida subsp. multocida str. Pm70	2257487
Lactococcus lactis subsp. lactis Il1403	2365589
Brucella melitensis bv. 1 str. 16M	3294931
Helicobacter pylori 26695	1667867
Thermotoga maritima MSB8	1860725
Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539	3284156
Treponema pallidum subsp. pallidum str. Nichols	1138011
Aquifex aeolicus VF5	1590791
Chlamydia trachomatis D/UW-3/CX	1042519
Chlamydia pneumoniae CWL029	1230230
Helicobacter pylori J99	1643831
Haemophilus influenzae Rd KW20	1830138
Chlamydia pneumoniae AR39	1229853
